Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Views,Likes,Comments,Licensed,official_video
Gorillaz,Feel Good Inc.,Demon Days,album,1040234854.0,0.818,0.705,F# / Gb,-6.679,0.177,0.00836,0.613,0.772,138.559,Allegro,222640.0,693555221.0,6220896.0,169907.0,True,True
Gorillaz,Rhinestone Eyes,Plastic Beach,album,310083733.0,0.676,0.703,G# / Ab,-5.815,0.0302,0.0869,0.0463,0.852,92.761,Andante,200173.0,72011645.0,1079128.0,31003.0,True,True
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,63063467.0,0.695,0.923,C# / Db,-3.93,0.0522,0.0425,0.116,0.551,108.014,Andante,215150.0,8435055.0,282142.0,7399.0,True,True
Gorillaz,On Melancholy Hill,Plastic Beach,album,434663559.0,0.689,0.739,D,-5.81,0.026,1.51e-05,0.064,0.578,120.423,Moderato / Allegretto,233867.0,211754952.0,1788577.0,55229.0,True,True
Gorillaz,Clint Eastwood,Gorillaz,album,617259738.0,0.663,0.694,A# / Bb,-8.627,0.171,0.0253,0.0698,0.525,167.953,Vivace,340920.0,618480958.0,6197318.0,155930.0,True,True
Gorillaz,DARE,Demon Days,album,323850327.0,0.76,0.891,B,-5.852,0.0372,0.0229,0.298,0.966,120.264,Moderato / Allegretto,245000.0,259021161.0,1844658.0,72008.0,True,True
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,10666154.0,0.716,0.897,E,-7.185,0.0629,0.012,0.325,0.358,127.03,Allegro,274142.0,451996.0,11686.0,241.0,False,True
Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,159605929.0,0.726,0.815,B,-5.886,0.0313,0.00799,0.112,0.462,140.158,Allegro,209560.0,1010982.0,17675.0,260.0,False,False
Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,42671901.0,0.741,0.913,D,-3.34,0.0465,0.00343,0.325,0.643,120.012,Moderato / Allegretto,213750.0,24459820.0,739527.0,20296.0,True,True
Gorillaz,Dirty Harry,Demon Days,album,191074713.0,0.625,0.877,A# / Bb,-7.176,0.162,0.0315,0.672,0.865,192.296,Presto,230426.0,154761056.0,1386920.0,39240.0,True,True
Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,1055738398.0,0.592,0.767,A,-2.788,0.027,0.0021,0.127,0.328,96.483,Andante,329733.0,1018811259.0,4394471.0,121452.0,True,True
Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,1061750522.0,0.559,0.345,E,-13.496,0.0459,0.0576,0.141,0.458,84.581,Andante,264307.0,246687714.0,1213572.0,32761.0,True,True
Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,866464951.0,0.618,0.938,A,-3.442,0.0456,0.0179,0.167,0.875,91.455,Andante,269000.0,336635759.0,1740224.0,32573.0,True,True
Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,613838674.0,0.595,0.717,C,-4.803,0.0295,0.0779,0.108,0.547,88.969,Andante,215907.0,435121530.0,1890900.0,37069.0,True,True
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,732774515.0,0.458,0.795,C,-3.265,0.0574,0.00316,0.0756,0.513,123.229,Allegro,255373.0,673528656.0,3140356.0,60091.0,True,True
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,860722316.0,0.427,0.9,B,-3.674,0.0499,0.116,0.119,0.599,104.655,Andante,334667.0,320871237.0,1272266.0,37004.0,True,True
Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,550067391.0,0.556,0.913,C,-2.36,0.0437,0.0193,0.346,0.73,96.184,Andante,282160.0,324228662.0,1456622.0,49461.0,True,True
Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,367485508.0,0.451,0.97,C,-4.938,0.107,0.0264,0.102,0.198,122.444,Allegro,216933.0,179005296.0,784717.0,20084.0,True,True
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,301947159.0,0.666,0.936,G,-9.919,0.0476,0.00244,0.153,0.776,91.577,Andante,282907.0,86637926.0,434837.0,16029.0,True,True
Red Hot Chili Peppers,Dark Necessities,The Getaway,album,385677873.0,0.7,0.742,F,-6.777,0.0716,0.0722,0.11,0.197,91.959,Andante,302000.0,440037964.0,2094182.0,56516.0,True,True
50 Cent,In Da Club,Get Rich Or Die Tryin',album,1041736808.0,0.902,0.72,F# / Gb,-2.776,0.347,0.26,0.0749,0.805,90.059,Andante,193467.0,1682616458.0,10481678.0,296745.0,True,True
50 Cent,Candy Shop,The Massacre,album,701248893.0,0.614,0.574,B,-7.961,0.466,0.0253,0.38,0.755,125.173,Allegro,209107.0,838974650.0,5014527.0,113251.0,True,True
50 Cent,Just A Lil Bit,The Massacre,album,395155110.0,0.489,0.692,C# / Db,-6.672,0.41,0.0322,0.315,0.527,96.946,Andante,237707.0,476133463.0,2523312.0,42075.0,True,True
50 Cent,P.I.M.P.,Get Rich Or Die Tryin',album,541728561.0,0.7,0.758,A# / Bb,-3.012,0.342,0.0444,0.0401,0.889,78.693,Andante,249467.0,572659065.0,3334710.0,60552.0,True,True
50 Cent,Many Men (Wish Death),Get Rich Or Die Tryin',album,332175400.0,0.653,0.826,F# / Gb,-2.93,0.354,0.0153,0.131,0.416,108.52,Andante,256227.0,441155628.0,2765887.0,84117.0,True,True
50 Cent,Disco Inferno,The Massacre,album,202477187.0,0.925,0.659,D# / Eb,-4.763,0.231,0.206,0.279,0.71,97.018,Andante,214227.0,39825951.0,382791.0,12038.0,True,True
50 Cent,21 Questions,Get Rich Or Die Tryin',album,446003044.0,0.576,0.807,F# / Gb,-3.908,0.317,0.353,0.0512,0.908,90.012,Andante,224427.0,503248572.0,2759199.0,54805.0,True,True
50 Cent,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,album,28529840.0,0.853,0.776,G# / Ab,-4.221,0.261,0.0714,0.181,0.659,94.028,Andante,212013.0,5289821.0,245935.0,9008.0,True,True
50 Cent,If I Can't,Get Rich Or Die Tryin',album,210473579.0,0.892,0.631,B,-2.522,0.302,0.244,0.0235,0.838,93.975,Andante,196640.0,46096.0,612.0,14.0,False,False
