Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Key_name,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Licensed,official_video
KAYTRANADA,LITE SPOTS,99.9%,album,29240851.0,0.884,0.549,1,C# / Db,-11.683,0.471,0.0346,0.112,0.394,120.461,Moderato / Allegretto,230920.0,True,True
Rita Ora,Follow Me,Follow Me,single,82813284.0,0.673,0.729,6,F# / Gb,-4.879,0.0496,0.083,0.1,0.675,122.023,Allegro,169672.0,True,True
Big Sean,Bounce Back,I Decided.,album,666145000.0,0.78,0.575,1,C# / Db,-5.628,0.139,0.106,0.129,0.273,81.502,Andante,222360.0,True,True
Dave Matthews Band,#41,Crash,album,34528391.0,0.577,0.726,4,E,-8.011,0.0299,0.00199,0.158,0.764,107.416,Andante,399800.0,True,True
Ray Dalton,Call It Love - Klingande Remix,Call It Love (Klingande Remix),single,1153344.0,0.671,0.687,10,A# / Bb,-8.669,0.0502,0.0111,0.504,0.623,121.992,Allegro,149508.0,True,True
Swae Lee,Guatemala - From Swaecation,SR3MM,album,257491781.0,0.849,0.699,4,E,-5.193,0.0574,0.185,0.0954,0.0778,100.989,Andante,256341.0,True,True
Nicki Minaj,Moment 4 Life,Pink Friday,album,216403212.0,0.475,0.882,11,B,-3.883,0.351,0.406,0.241,0.369,98.001,Andante,279307.0,True,True
Playboi Carti,Location,Playboi Carti,album,227345596.0,0.717,0.79,11,B,-4.213,0.2,0.33,0.518,0.371,125.985,Allegro,168784.0,False,False
Marcela Gandara,Pensaba En Ti,El Mismo Cielo,album,18295791.0,0.547,0.541,3,D# / Eb,-6.139,0.0262,0.413,0.131,0.228,139.97,Allegro,218827.0,False,False
Rita Ora,For You (With Rita Ora),LP1,album,403097672.0,0.535,0.8,2,D,-4.569,0.0342,0.0183,0.421,0.175,113.023,Moderato / Allegretto,242828.0,True,True
Dawid Podsiadło,WiRUS,Lata Dwudzieste,album,5937046.0,0.696,0.575,8,G# / Ab,-7.371,0.0339,0.00326,0.816,0.836,123.989,Allegro,212627.0,True,True
Kid Ink,Show Me (feat. Chris Brown),My Own Lane (Expanded Edition),album,324075704.0,0.711,0.508,7,G,-7.299,0.0502,0.0355,0.141,0.663,98.098,Andante,217800.0,True,True
Hombres G,Marta tiene un marcapasos,La Cagaste... Burt Lancaster,album,68990772.0,0.596,0.947,11,B,-3.225,0.0547,0.00321,0.0897,0.487,102.238,Andante,132853.0,False,False
Niro,J'dois l'oublier,Sale môme,album,8814769.0,0.616,0.497,1,C# / Db,-9.366,0.204,0.446,0.0973,0.491,99.735,Andante,183480.0,False,True
Kizzy,Balão 2,Vida Cara,album,3136799.0,0.612,0.724,1,C# / Db,-5.423,0.0477,0.186,0.109,0.268,137.877,Allegro,252174.0,True,True
Fuerza Regida,Bebe Dame,Sigan Hablando,album,81687833.0,0.529,0.602,7,G,-4.629,0.0458,0.299,0.0716,0.756,157.643,Vivace,271862.0,False,False
Mc Poze do Rodo,Frio e Calculista,O Sábio,album,13150319.0,0.818,0.549,5,F,-5.447,0.367,0.0612,0.105,0.747,102.831,Andante,223689.0,True,True
Duran Duran,Ordinary World,Duran Duran,album,242130793.0,0.472,0.652,1,C# / Db,-10.171,0.0305,0.0131,0.14,0.401,140.124,Allegro,340200.0,True,True
Falling In Reverse,Fashionably Late,Fashionably Late (Deluxe Edition),album,75087035.0,0.675,0.97,8,G# / Ab,-2.164,0.0613,0.00777,0.331,0.568,106.973,Andante,213371.0,True,True
Alceu Valença,Anunciação - Jopin Remix,Anunciação (Jopin Remix),single,22692907.0,0.676,0.898,9,A,-5.601,0.049,0.0105,0.248,0.322,126.036,Allegro,205238.0,False,True
Rosa Linn,SNAP - Acoustic,SNAP PACK,single,2475726.0,0.49,0.378,0,C,-4.644,0.0379,0.55,0.101,0.114,74.21,Adagio,208066.0,False,True
Eladio Carrion,3 Am,Sauce Boyz,album,126957216.0,0.852,0.613,9,A,-5.261,0.108,0.413,0.123,0.576,89.951,Andante,208237.0,True,True
Tom Odell,Heal,Long Way Down (Deluxe),album,253098407.0,0.445,0.179,1,C# / Db,-12.938,0.0396,0.952,0.107,0.119,72.246,Adagio,193080.0,True,True
Hikaru Utada,Can You Keep A Secret?,Distance,album,18003702.0,0.722,0.884,4,E,-3.593,0.0656,0.0378,0.219,0.647,103.962,Andante,308467.0,True,True
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),single,375127168.0,0.801,0.806,11,B,-5.206,0.0381,0.382,0.114,0.802,106.999,Andante,239318.0,True,True
El Alfa,Los Aparatos,SAGITARIO,album,69366747.0,0.868,0.878,1,C# / Db,-3.294,0.038,0.0509,0.0857,0.899,112.987,Moderato / Allegretto,232843.0,False,False
Michael Jackson,Love Never Felt So Good,XSCAPE,album,280500270.0,0.775,0.719,7,G,-6.212,0.0435,0.132,0.0662,0.712,117.513,Moderato / Allegretto,246027.0,True,True
Iggy Azalea,Iam The Stripclub,The End of an Era,album,18969948.0,0.943,0.689,1,C# / Db,-6.043,0.0541,0.0199,0.112,0.49,126.008,Allegro,168602.0,True,True
Antônio Carlos Jobim,Só Tinha De Ser Com Você,Elis & Tom,album,55027941.0,0.793,0.372,10,A# / Bb,-15.491,0.0509,0.687,0.105,0.482,120.134,Moderato / Allegretto,233544.0,False,False
Marvin Gaye,Ain't No Mountain High Enough,United,album,931115362.0,0.663,0.6,7,G,-10.87,0.032,0.43,0.184,0.8,129.991,Allegro,151667.0,False,False
Nightcrawlers,Push The Feeling On - Remix,90s Party,compilation,10199056.0,0.778,0.813,9,A,-6.024,0.0433,0.00574,0.0505,0.882,122.08,Allegro,211747.0,True,True
Westlife,If I Let You Go - Radio Edit,Westlife,album,126811531.0,0.581,0.678,0,C,-4.242,0.0284,0.00669,0.0807,0.677,181.991,Presto,221267.0,True,True
Marcianeke,En las Malas y Buenas,En las Malas y Buenas,single,29681919.0,0.628,0.864,9,A,-3.447,0.135,0.547,0.152,0.926,177.923,Presto,196854.0,True,True
The Lyndhurst Orchestra,Earth,Gladiator: 20th Anniversary Edition,album,24422351.0,0.0876,0.0504,4,E,-29.69,0.0387,0.755,0.112,0.0912,170.05,Vivace,181867.0,False,False
Avicii,Wake Me Up,True,album,1790784163.0,0.532,0.783,2,D,-5.697,0.0523,0.0038,0.161,0.643,124.08,Allegro,247427.0,True,True
BIA,CAN'T TOUCH THIS,FOR CERTAIN (Deluxe),album,24769336.0,0.975,0.482,9,A,-7.94,0.246,0.00716,0.0596,0.737,125.953,Allegro,146598.0,True,True
Simone Sommerland,Ich bin ein Einhorn,Die 30 besten Lieder für Mädchen,album,20283174.0,0.762,0.58,1,C# / Db,-8.421,0.0644,0.28,0.0888,0.711,118.014,Moderato / Allegretto,135477.0,True,True
Big Sean,Champions,Champions,single,268738307.0,0.692,0.774,6,F# / Gb,-2.48,0.0876,0.0623,0.873,0.349,134.952,Allegro,334253.0,False,False
Phantogram,When I'm Small,Eyelid Movies,album,100317173.0,0.646,0.758,10,A# / Bb,-4.34,0.0314,0.191,0.103,0.424,91.998,Andante,249067.0,False,False
Kelis,FEED THEM,FEED THEM,single,2001302.0,0.903,0.728,10,A# / Bb,-6.716,0.177,0.0498,0.0495,0.814,101.967,Andante,93625.0,False,False
The Game,Eazy (Feat. Kanye West),DRILLMATIC Heart vs. Mind,album,83538834.0,0.568,0.547,1,C# / Db,-6.985,0.547,0.172,0.209,0.318,82.635,Andante,233094.0,True,True
Ramirez,Na Na Na Na Na (Caught Slippin),Grey Gorilla,album,35815697.0,0.833,0.895,9,A,-4.764,0.204,0.0623,0.317,0.77,93.99,Andante,153260.0,False,True
Phil Collins,In The Air Tonight - 2015 Remastered,Face Value (Deluxe Editon),album,548439010.0,0.446,0.239,0,C,-13.945,0.0316,0.551,0.0697,0.298,189.507,Presto,336453.0,False,False
Jowell & Randy,Se Acabó la Cuarentena,Viva el Perreo,album,64006720.0,0.886,0.605,6,F# / Gb,-4.311,0.109,0.00127,0.0767,0.646,122.052,Allegro,166971.0,True,True
Westside Gunn,No Vacancy,Pray for Paris,album,4633504.0,0.519,0.706,8,G# / Ab,-6.983,0.214,0.605,0.175,0.61,135.831,Allegro,95294.0,False,False
Ahmet Kaya,Kum Gibi,Şarkılarım Dağlara,album,41397974.0,0.667,0.571,0,C,-10.626,0.0359,0.589,0.093,0.598,92.018,Andante,270884.0,True,True
Miky Woodz,Mala Mia,Sauce Boyz,album,18770392.0,0.732,0.73,0,C,-5.895,0.104,0.307,0.109,0.351,172.039,Vivace,213946.0,False,False
Dimitri Vegas & Like Mike,Fuego,Fuego,single,11479086.0,0.704,0.718,1,C# / Db,-5.243,0.0527,0.144,0.0541,0.475,95.94,Andante,199358.0,False,True
Aitana,mariposas,mariposas,single,61053630.0,0.692,0.75,0,C,-4.328,0.0411,0.145,0.133,0.443,120.037,Moderato / Allegretto,154000.0,True,True
James Arthur,Questions,Questions,single,51981244.0,0.599,0.713,11,B,-7.008,0.0542,0.405,0.266,0.518,123.962,Allegro,177157.0,False,True
Muse,Madness,The 2nd Law,album,264508776.0,0.502,0.417,10,A# / Bb,-7.665,0.0718,0.127,0.106,0.218,180.301,Presto,281040.0,True,True
Chuck Berry,Rock And Roll Music,One Dozen Berry's,album,14356541.0,0.529,0.768,8,G# / Ab,-6.201,0.0446,0.418,0.0655,0.871,165.225,Vivace,151773.0,False,False
Badshah,Players,Players,single,19830720.0,0.833,0.678,9,A,-3.711,0.141,0.464,0.107,0.576,109.969,Moderato / Allegretto,171273.0,True,True
Lilly Goodman,Vuelve a Casa,Vuelve a Casa,album,6843029.0,0.658,0.433,0,C,-8.276,0.0319,0.555,0.0747,0.326,137.917,Allegro,299120.0,False,False
Timbaland,Give It To Me,Shock Value,album,165286007.0,0.975,0.711,8,G# / Ab,-3.904,0.0632,0.168,0.0799,0.815,110.621,Moderato / Allegretto,234027.0,True,True
Tom Petty and the Heartbreakers,Learning To Fly,Into The Great Wide Open,album,205496070.0,0.651,0.766,0,C,-9.935,0.0299,0.206,0.362,0.949,116.74,Moderato / Allegretto,242107.0,True,True
Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,album,1325575712.0,0.486,0.617,5,F,-7.115,0.0287,0.0954,0.109,0.417,138.015,Allegro,242373.0,True,True
Cosculluela,Manicomio,Blanco Perla,album,126036802.0,0.761,0.75,8,G# / Ab,-3.815,0.24,0.021,0.138,0.83,180.051,Presto,228667.0,True,True
IU,Blueming,Love poem,single,109096091.0,0.819,0.674,0,C,-3.145,0.0587,0.0849,0.0667,0.682,106.032,Andante,217053.0,True,True
Banda El Recodo,Te Presumo,Te Presumo,album,113253641.0,0.597,0.469,8,G# / Ab,-6.143,0.0293,0.684,0.166,0.696,145.234,Allegro,192973.0,True,True
Justin Timberlake,Rock Your Body,Justified,album,411236768.0,0.892,0.714,4,E,-6.055,0.141,0.201,0.0521,0.817,100.972,Andante,267267.0,True,True
Kevin Kaarl,Es Que Yo Te Quiero A Ti,Es Que Yo Te Quiero A Ti,single,75318642.0,0.579,0.274,0,C,-12.956,0.0288,0.828,0.228,0.106,110.124,Moderato / Allegretto,323626.0,False,True
Zé Felipe,50 Cópias,50 Cópias,single,9597428.0,0.744,0.883,1,C# / Db,-2.598,0.0577,0.175,0.313,0.892,129.956,Allegro,185573.0,True,True
Andrea Bocelli,Perfect Symphony (Ed Sheeran & Andrea Bocelli),Perfect Symphony (Ed Sheeran & Andrea Bocelli),single,160120770.0,0.544,0.417,8,G# / Ab,-4.387,0.0247,0.586,0.085,0.207,95.156,Andante,265363.0,True,True
Justin Bieber,Off My Face,Justice,album,209625470.0,0.509,0.228,4,E,-8.68,0.0332,0.92,0.104,0.586,90.674,Andante,156468.0,False,True
Men I Trust,Numb,Numb,single,46508509.0,0.783,0.303,4,E,-14.393,0.0527,0.811,0.109,0.65,138.816,Allegro,219340.0,True,True
Gloria Gaynor,"I Will Survive - Original 7"" Version",I Will Survive (Phil Kelsey Remix),single,328622793.0,0.779,0.542,9,A,-15.137,0.0515,0.0358,0.33,0.647,116.284,Moderato / Allegretto,198373.0,True,True
24kGoldn,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),single,307148858.0,0.779,0.705,0,C,-3.895,0.0344,0.369,0.124,0.946,101.022,Andante,178374.0,True,True
Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,McCartney II (Special Edition),album,402838433.0,0.774,0.511,11,B,-8.914,0.0319,0.322,0.0672,0.771,94.736,Andante,227653.0,True,True
Jovanotti,Ragazza Magica,Lorenzo 2015 CC.,album,27835346.0,0.459,0.842,9,A,-3.515,0.0929,0.179,0.404,0.707,92.625,Andante,229000.0,True,True
Roger,A Chunk of Sugar,The Many Facets Of Roger,album,244087.0,0.816,0.762,7,G,-3.505,0.0359,0.185,0.0806,0.708,118.705,Moderato / Allegretto,332227.0,True,True
Tayc,P A S C O M M E Ç A,Fleur froide - Second état : la cristallisation,album,36443008.0,0.765,0.691,1,C# / Db,-7.016,0.0692,0.226,0.0951,0.711,102.025,Andante,178227.0,True,True
Meet Bros.,Befikra,Befikra,single,19126150.0,0.6,0.979,10,A# / Bb,-3.513,0.243,0.138,0.1,0.453,137.06,Allegro,351579.0,True,True
Franco De Vita,No Basta,Mis 30 Mejores Canciones,album,19926480.0,0.674,0.673,10,A# / Bb,-6.468,0.0281,0.461,0.344,0.386,129.393,Allegro,272360.0,False,True
Indila,Love Story,Mini World,album,93966874.0,0.375,0.255,10,A# / Bb,-12.279,0.0376,0.815,0.0845,0.331,95.978,Andante,316280.0,True,True
Josh Turner,Long Black Train,Long Black Train,album,57163446.0,0.537,0.699,10,A# / Bb,-6.615,0.0399,0.237,0.114,0.814,84.905,Andante,250627.0,True,True
Los Tigres Del Norte,La Puerta Negra,Gracias America Sin Fronteras,album,123575732.0,0.698,0.54,4,E,-8.986,0.0331,0.315,0.288,0.969,108.101,Andante,203587.0,True,True
Ovi,Vengo De Nada,Buen Viaje,album,63305642.0,0.862,0.674,4,E,-4.856,0.0537,0.416,0.101,0.472,104.991,Andante,221803.0,True,True
Soda Stereo,Te Para 3 - MTV Unplugged,Comfort Y Musica Para Volar,album,81057070.0,0.523,0.339,2,D,-9.913,0.0275,0.707,0.709,0.117,115.7,Moderato / Allegretto,247000.0,False,False
accelerate,Past Lives (sped up),Past Lives (sped up),single,499987.0,0.724,0.22,6,F# / Gb,-13.385,0.0325,0.913,0.101,0.318,138.037,Allegro,113086.0,False,False
I Monster,Sunny Delights,Neveroddoreven,album,857086.0,0.597,0.811,9,A,-8.012,0.0286,0.0465,0.764,0.327,95.997,Andante,290160.0,True,True
Simply Red,For Your Babies,Stars (Expanded Version),album,74953424.0,0.726,0.486,9,A,-8.774,0.0237,0.212,0.077,0.476,95.983,Andante,257760.0,True,True
Bullet For My Valentine,Letting You Go,Gravity,album,45908027.0,0.459,0.903,5,F,-4.649,0.0673,0.00877,0.168,0.364,76.185,Adagio,223655.0,True,True
Zion,More,La Fórmula,compilation,164453482.0,0.687,0.778,1,C# / Db,-6.623,0.101,0.209,0.117,0.865,172.047,Vivace,240733.0,True,True
Tom Petty and the Heartbreakers,Breakdown,Tom Petty & The Heartbreakers,album,87209276.0,0.625,0.35,9,A,-8.395,0.0436,0.398,0.123,0.69,113.688,Moderato / Allegretto,163893.0,True,True
Guè,NUN SE VER (feat. Guè),IL CORAGGIO DEI BAMBINI,album,3573202.0,0.602,0.533,8,G# / Ab,-7.682,0.433,0.343,0.0836,0.353,126.053,Allegro,158667.0,True,True
Lloyd,Swimming Pools,Swimming Pools,single,39620557.0,0.574,0.591,9,A,-5.843,0.288,0.0822,0.199,0.217,73.984,Adagio,168661.0,False,False
El Komander,El Taquicardio,Belico,album,74016862.0,0.557,0.915,7,G,-2.544,0.115,0.511,0.0583,0.962,90.53,Andante,180872.0,True,True
The Mamas & The Papas,Twelve Thirty - Single Version,The Papas & The Mamas,album,10917409.0,0.557,0.444,1,C# / Db,-13.986,0.0305,0.345,0.717,0.472,113.252,Moderato / Allegretto,204733.0,False,False
Marco Antonio Solís,Más Que Tu Amigo,Tu Amor O Tu Desprecio,album,162730355.0,0.786,0.604,0,C,-7.608,0.0413,0.221,0.063,0.81,97.461,Andante,209507.0,True,True
Diddy,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,No Way Out (2014 Remaster),album,428994279.0,0.833,0.619,7,G,-5.595,0.0538,0.111,0.159,0.901,109.92,Moderato / Allegretto,306560.0,True,True
Trippie Redd,Way Back,Way Back,single,6787387.0,0.657,0.713,7,G,-4.787,0.0406,0.0791,0.221,0.544,175.096,Vivace,119314.0,True,True
Jaden,On My Own,ERYS (Deluxe),album,67716092.0,0.344,0.843,1,C# / Db,-3.711,0.0422,0.0214,0.189,0.219,97.5,Andante,244720.0,False,True
Faith Hill,Wild One,Take Me as I Am,album,23865551.0,0.694,0.654,11,B,-9.148,0.0322,0.185,0.283,0.689,135.787,Allegro,165013.0,True,True
Vybz Kartel,Happy Pum Pum,Happy Pum Pum,single,11723007.0,0.623,0.678,1,C# / Db,-5.452,0.243,0.285,0.172,0.781,175.682,Vivace,212727.0,False,False
Tom Petty,Runnin' Down A Dream,Full Moon Fever,album,28022929.0,0.451,0.89,9,A,-12.737,0.0435,0.00045,0.495,0.412,169.934,Vivace,292000.0,True,True
Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,album,99577335.0,0.827,0.571,11,B,-7.949,0.366,0.0195,0.166,0.62,142.034,Allegro,146419.0,False,True
Bacilos,Tabaco Y Chanel,Bacilos (Re-Issue),album,137049958.0,0.643,0.576,7,G,-6.896,0.0303,0.0267,0.273,0.699,97.022,Andante,312400.0,True,True
Insane Clown Posse,To Catch a Predator,Bang! Pow! Boom! Nuclear,album,11265834.0,0.532,0.934,6,F# / Gb,-3.582,0.317,0.177,0.685,0.613,177.795,Presto,321413.0,False,False
Taio Cruz,She's Like A Star,Departure,album,21507482.0,0.51,0.601,7,G,-4.629,0.103,0.000345,0.141,0.38,133.151,Allegro,218707.0,True,True
Leonardo,Um Degrau na Escada - Ao Vivo,Leonardo e Eduardo Costa no Cabaré (Ao Vivo),album,23338304.0,0.66,0.727,2,D,-5.439,0.0322,0.513,0.94,0.623,140.075,Allegro,213853.0,True,True
Damas Gratis,El humo de mi fasito,100% Negro Cumbiero,album,30229674.0,0.594,0.841,5,F,-3.292,0.0826,0.183,0.171,0.786,84.295,Andante,212253.0,False,False
IU,strawberry moon,strawberry moon,single,33708653.0,0.475,0.712,6,F# / Gb,-3.306,0.0431,0.138,0.0936,0.443,169.796,Vivace,205333.0,True,True
Rahat Fateh Ali Khan,Isq Risk,Mere Brother Ki Dulhan,album,18847047.0,0.846,0.634,10,A# / Bb,-7.753,0.0432,0.122,0.146,0.944,104.964,Andante,295079.0,True,True
James Horner,The Ludlows,Legends Of The Fall Original Motion Picture Soundtrack,album,41883037.0,0.156,0.0223,7,G,-27.684,0.0367,0.938,0.0998,0.0495,72.844,Adagio,340400.0,False,False
Jason Mraz,Lucky,We Sing. We Dance. We Steal Things.,album,584335743.0,0.625,0.414,0,C,-8.7,0.0369,0.294,0.151,0.669,130.088,Allegro,189613.0,True,True
Wiz Khalifa,No Sleep,Rolling Papers,album,184905162.0,0.653,0.711,9,A,-6.454,0.0623,0.109,0.443,0.769,160.048,Vivace,191320.0,False,True
Dominic Fike,Babydoll,"Don't Forget About Me, Demos",album,143988805.0,0.762,0.604,7,G,-5.296,0.11,0.114,0.0271,0.847,168.007,Vivace,97960.0,True,True
Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,single,539669724.0,0.721,0.738,7,G,-4.77,0.0403,0.00226,0.118,0.637,119.976,Moderato / Allegretto,154983.0,True,True
Major Lazer,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",Shine,album,136886345.0,0.728,0.811,7,G,-4.278,0.0564,0.0453,0.362,0.705,114.995,Moderato / Allegretto,228707.0,True,True
Hugh Jackman,Look Down,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),album,16504157.0,0.406,0.367,0,C,-12.006,0.151,0.903,0.128,0.333,76.019,Adagio,196680.0,False,False
